Ticker,Market Capitalization,Total Debt,Cash and Cash Equivalents,Enterprise Value,EBITDA,Total Revenue,Gross Profit,Operating Revenue,Operating Income,Net Income,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,Stock Price Change
MMM,-15.569281133952423,-7.946477334789733,-19.916739702015775,-13.01347318609454,-9.597168731133548,-3.184839485221327,-9.43840579710145,-3.184839485221327,-44.55149952503732,-2.4320216179699377,-34.33601093830114,-33.42428376534789,3.0594405594405596,0.0,,9.10792264504055,-24.830636148400213
AOS,31.3081863110424,67.53424657534246,-11.75276336566659,35.084168537395485,-56.2023170387115,6.075334143377885,1.4265008772598977,6.075334143377885,8.072190319934371,-51.61157873126668,-43.26855123674911,10.095497953615281,,,,-6.391478029294275,29.18880183354777
ABT,-2.420344810394106,-6.787330316742081,0.8470252066537401,-3.077243187541658,-1.229441459045758,1.3418456181079512,-0.11003341755644308,1.3418456181079512,-0.7477744807121661,-1.951633432329232,-9.759481961147086,65.07177033492823,1468.75,75.0,,-5.729442970822282,-4.1232500134173895
ABBV,11.700060463429324,-17.49126284492202,-5.5920377590806485,4.767861947156998,1.006977813061463,3.304446856593769,4.874712910634564,3.304446856593769,1.076768578442312,2.5472188528851154,10.268303774442929,59.20770877944326,53.314212874442326,100.0,,-11.689961880559085,0.8347474339651442
ACN,23.12732887652265,-5.313739191931098,14.641615354849716,22.946291731396922,0.3163377699452115,4.087131107332082,5.22836312432242,4.087131107332082,-5.949409966563046,-0.08160334579534108,1.9603585167215585,5.199352440422138,,,11.267441722557269,-26.438235203997785,4.7377271368044145
ADBE,75.68540431821003,-0.855981168414295,10.197710718002082,74.88882542736567,5.600968816227671,11.536268609439341,10.926724137931036,11.536268609439341,5.10168907273354,-1.368726669431771,7.4687590816623075,65.82278481012658,,,-4.4673539518900345,27.011494252873565,65.44427078223116
AMD,104.20435027615198,333.13161875945536,90.72978303747534,106.65962744719153,32.8372539606337,43.610806863818915,33.72430319081852,43.610806863818915,-65.35087719298247,-58.254269449715366,-3.260869565217391,105.50275137568785,,,,49.501661129568106,60.13985698632952
AES,-27.84901057023023,25.66447403604471,45.705196182396605,1.4548722401908205,121.59468438538205,13.248361906471592,-6.012541497602361,13.248361906471592,-8.015717092337917,33.496332518337404,757.9439252336448,,84.55375027821054,174.07570422535213,-94.85861182519281,115.07561436672968,-41.636381809487226
AFL,31.539125123955515,-6.460532931121167,-21.936250247475748,30.691031786457263,,-11.11575234382252,,-11.11575234382252,,4.419758922240605,-23.203326074044746,4.34593654932638,102.28571428571429,10.75455333911535,-34.61538461538461,,21.739362413932387
A,-11.46298332327554,1.4657383657017222,-29.043126684636118,-9.836878954175301,8.11577752553916,8.371577781294508,9.245670678015848,8.371577781294508,20.11878247958426,3.6363636363636362,-21.2798766383963,44.54314720812182,46.043165467625904,-29.245283018867923,,54.78723404255319,-26.357249816357793
APD,26.33750228834898,32.481475699239816,-40.35411287347842,30.61927749641512,4.6743585491245945,-0.7764635471626794,12.10975863813577,-0.7764635471626794,13.541968911917099,1.9547005895128762,-567.5996048732302,,53.849999999999994,358.91412163925867,,58.08645139244831,14.773744233726294
ABNB,25.160332024101784,-3.184449958643507,21.608702818526453,24.425225889514504,658.6956521739131,40.170226969292386,42.67990074441687,40.170226969292386,248.8929889298893,-637.7840909090909,48.29226113272806,,-100.0,-100.0,,-1.2716215148882395,9.391070004884067
AKAM,29.544106380321256,11.041866260081981,1.045600633471517,27.07741343405459,-6.611381861107102,4.49063813571099,1.85050452339975,4.49063813571099,-11.913003188792892,-19.63808348755912,-4.9991097746740785,16.42013958698337,,,,-15.943363351246262,16.121360317648143
ALB,-38.196329619953026,31.53742846762461,241.27875211713925,-36.55674485632132,536.2271595701568,119.95789008091151,208.08380203432765,119.95789008091151,393.26238946947336,2074.9595704767453,-206.03747887300835,,-6.573478284204688,3120.5013854503122,-100.0,32.29418654519869,-54.13728797782882
ARE,-20.52086418366514,14.521594115109004,128.36517705923376,-11.21966096171963,9.245209297264681,22.458765934299837,21.146857462959424,22.18860295913813,20.906706197775218,-8.680483223544282,28.125603223925634,,-53.41261646782972,-51.23523778667274,-33.51149033307954,,-33.223916797429936
ALGN,40.348450025919966,1.2227318045862412,-14.310013917061589,43.87808830875768,-28.133797917114002,-5.51408901113803,-10.274055437928292,-5.51408901113803,-33.014338385907415,-53.16533250433927,-64.115181101464,15.997845551650766,,,2.0528431487335594,-27.224768011807587,-3.8908890580819553
ALLE,16.658274781143106,45.23958116635462,-27.62000502638854,23.414423600695187,4.716263502205995,14.106856385575783,9.75184662627604,14.106856385575783,10.59977367031309,-5.175983436853002,-10.762635379061372,-85.22286821705426,18.710757639179572,276.0,,40.969162995594715,-5.581991393246795
LNT,-7.711031793556569,10.592414055562603,-48.717948717948715,-0.5832097628895392,11.615833874107723,14.60888525483783,9.832904884318767,14.668153931957614,16.729559748427672,1.7804154302670623,-16.49484536082474,-100.0,7812.5,123.0,-10.714285714285714,,-3.828585987565019
ALL,-13.593724523056519,-0.15045135406218654,-3.5386631716906947,-11.147076823823271,,1.600758878283038,,1.600758878283038,,-179.8636926889715,-1.467197652483756,-29.411764705882355,-100.0,,,21.73913043478261,2.392335956614798
