Ticker,Market Capitalization,Total Debt,Cash and Cash Equivalents,Enterprise Value,EBITDA,Total Revenue,Gross Profit,Operating Revenue,Operating Income,Net Income,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,Stock Price Change
MMM,84.47562736051222,-0.0059329575793533075,62.32558139534884,59.65597999641391,-177.8238341968912,-4.52248093721698,-5.287724211508968,-4.52248093721698,-324.27802251590794,-221.08360740868963,31.83237896928683,-97.74590163934425,161.74724342663274,283400.0,,-7.661520869068039,78.15653219429204
AOS,35.87047147894637,-57.6996456800218,-13.113496932515337,34.31758647920108,165.74193548387098,2.6345933562428407,11.672683513838749,2.6345933562428407,14.984059511158343,136.14764531183707,86.14138897539706,-24.03965303593556,,,,3.2716927453769555,10.505761519524771
ABT,18.246754581585055,-11.78595619778731,-30.216555353167372,17.937660194139898,-13.082186134696233,-8.118571461297048,-9.697686752886458,-8.118571461297048,-22.53049509686678,-17.45276215202654,-35.1742696053306,-67.66798418972331,231.7397078353254,-71.42857142857143,,23.916713562183457,25.520408166680557
ABBV,35.47926823670997,-6.141834331684342,39.26747092707315,26.75838869173233,-28.96500372300819,-6.4353877424466885,-16.57726377952756,-6.4353877424466885,-29.58547220842303,-58.9134842852315,-9.015176509402838,32.61600537995965,-71.2533776761588,-100.0,,11.798561151079138,47.202665308805024
ACN,15.290204271580823,30.851207068580393,-44.671627474618106,18.517906891535073,5.673819554399992,1.2239863382286662,2.0775524058506414,1.2239863382286662,8.92131558070709,5.722574956447279,-4.241595465410774,4.485564045655797,,1499.033,-5.525262329713025,-2.208182183076725,20.307907737430916
ADBE,-0.4374026649943744,-11.936110511547593,68.57884796978281,-1.9021023450912036,11.582568807339449,10.240826990798592,10.452690887895862,10.240826990798592,9.052148245326338,14.129520605550884,-6.138453217955651,-32.82442748091603,,,12.949640287769784,-18.552036199095024,-7.640340376341377
AMD,60.239080903367935,4.88997555012225,-18.655635987590486,61.60066263224028,-25.027105168052046,-3.9023770179229693,-1.3486749033292464,-3.9023770179229693,-68.2753164556962,-35.303030303030305,-64.01284109149277,-65.62804284323272,-100.0,-100.0,,21.333333333333336,54.501981318374916
AES,37.7497430910319,14.384202910886032,3.7845705967976713,21.941336245999242,27.48625687156422,0.40421653324879137,-1.726844583987441,0.40421653324879137,-3.929944468175993,-145.6043956043956,155.44662309368192,,29.896285576459235,19.495744339168137,601.6666666666666,69.72094045264777,14.42017219389083
AFL,38.49037644550938,-1.0481053480247244,9.206188181587624,34.877606807003566,,-1.6187144274450422,,-1.6187144274450422,,5.454956994114984,-17.762309873678785,16.659725114535608,-100.0,-84.02505873140173,0.0,,45.397615829367446
A,32.062997891534586,-1.2278801011195377,50.997150997150996,28.805094445248237,-10.498687664041995,-0.21904205607476634,-6.904889844169801,-0.21904205607476634,-16.563658838071692,-1.1164274322169059,44.36826640548482,-49.5171202809482,-100.0,-100.0,,2.405498281786942,30.850676864845155
APD,8.273588662056511,36.02831864824685,84.27334570191714,10.86474275498876,46.91729663663936,-3.9634920634920636,4.377488717812583,-3.9634920634920636,7.604410046728972,66.42900617337622,121.81536511513274,,-20.994475138121548,33.04988339684887,,46.911205256787134,14.42350525436025
ABNB,-5.493232756494146,-1.5805211448099103,-6.83111954459203,-5.259850369603847,6.446991404011461,18.07358018811763,19.043478260869566,18.07358018811763,-19.725013220518246,153.14315900686742,13.236151603498541,50.13333333333333,,,,,16.716548577944753
AKAM,-7.870417673380093,42.88271624577075,-9.748366790390477,0.5283518407693626,-1.651618690925171,5.399078817050235,3.046440959587251,5.399078817050235,-1.0719509450945095,4.574810186528972,-24.250527331835652,7.57158599365142,-28.000000000000004,969.9104,,59.29234434935916,-0.7019608295265082
ALB,-42.60580160046732,29.07019695335471,-40.639379058154596,-31.625587188438743,-72.25472813445619,31.3806880339405,-61.42867318439843,31.3806880339405,-92.70954838506637,-41.5024670832503,-227.50791933804084,,-97.36819548776195,-50.46059089224403,,70.35531361411996,-23.947036120872326
ARE,25.602703483824605,10.713737483748108,-25.085404263002715,21.1821629871247,-18.017543363232505,11.461620525909613,12.22222283752047,10.34207543361128,17.13115735530065,-80.1328451481808,25.977249847603495,,-36.2926779205509,-34.70244005657797,-95.57432438191579,,27.15947068370193
ALGN,-18.910898188051796,-0.22772402055031993,-0.4895706172708455,-19.568729012960674,2.463835576739361,3.417335295149325,2.7750282389346093,3.417335295149325,0.39844170458437306,23.088007124425772,119.64946248988556,36.16344394486893,,,1.7056101571761826,-39.117505995203835,12.916351294672342
ALLE,39.47815561351557,-3.795655287658152,62.53472222222223,30.492818547825017,19.4101409269214,11.580427274672209,19.593163944343615,11.580427274672209,22.083901773533423,17.99126637554585,30.56890012642225,-1.8032786885245904,-60.64880112834978,-96.80851063829788,,31.5625,44.4314726484151
LNT,32.71813832828441,9.073181922459279,210.0,22.400986164487716,4.825581395348837,-4.233055885850178,1.462843768285547,-4.255836575875486,1.6163793103448276,2.478134110787172,78.39506172839506,,-19.747235387045812,8.74439461883408,884.0,,25.764572908581528
ALL,72.64030849906136,-0.2762430939226519,-1.9021739130434785,57.9277908274555,,11.054054579759196,,11.054054579759196,,-85.41505042668736,-15.741331631567752,-63.888888888888886,,,,-36.42857142857142,54.46897333876962
GOOGL,21.794391506286814,-3.959028269146535,9.913615795968738,21.494716958434825,15.043447627994363,8.682770227269513,11.127284799499467,8.682770227269513,12.627936185564256,23.049089575135064,15.805699050158307,3.7236913113869403,-78.6380113930606,-79.59222272658496,,2.432904557725901,40.52065124686721
GOOG,21.86539557914246,-3.959028269146535,9.913615795968738,21.567643668408877,15.043447627994363,8.682770227269513,11.127284799499467,8.682770227269513,12.627936185564256,23.049089575135064,15.805699050158307,3.7236913113869403,-78.6380113930606,-79.59222272658496,,2.432904557725901,40.41556708511502
MO,30.73654635467269,-1.6754122938530736,-8.535980148883375,23.01623696425571,41.24442411071714,-0.8990719257540603,0.2667415414853292,-2.4426203379024547,-3.1210672036244653,41.047883414295626,12.917649981368772,-45.20547945205479,222.71493212669685,,,-4.390243902439024,36.80274839941076
