Ticker,Market Capitalization,Total Debt,Cash and Cash Equivalents,Enterprise Value,EBITDA,Total Revenue,Gross Profit,Operating Revenue,Operating Income,Net Income,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,Stock Price Change
ADBE,-0.4374026649943744,-11.936110511547593,68.57884796978281,-1.9021023450912036,11.582568807339449,10.240826990798592,10.452690887895862,10.240826990798592,9.052148245326338,14.129520605550884,-6.138453217955651,-32.82442748091603,,,12.949640287769784,-18.552036199095024,-7.640340376341377
AMD,60.239080903367935,4.88997555012225,-18.655635987590486,61.60066263224028,-25.027105168052046,-3.9023770179229693,-1.3486749033292464,-3.9023770179229693,-68.2753164556962,-35.303030303030305,-64.01284109149277,-65.62804284323272,-100.0,-100.0,,21.333333333333336,54.501981318374916
ABNB,-5.493232756494146,-1.5805211448099103,-6.83111954459203,-5.259850369603847,6.446991404011461,18.07358018811763,19.043478260869566,18.07358018811763,-19.725013220518246,153.14315900686742,13.236151603498541,50.13333333333333,,,,,16.716548577944753
GOOGL,21.794391506286814,-3.959028269146535,9.913615795968738,21.494716958434825,15.043447627994363,8.682770227269513,11.127284799499467,8.682770227269513,12.627936185564256,23.049089575135064,15.805699050158307,3.7236913113869403,-78.6380113930606,-79.59222272658496,,2.432904557725901,40.520642601729094
GOOG,21.86539557914246,-3.959028269146535,9.913615795968738,21.567643668408877,15.043447627994363,8.682770227269513,11.127284799499467,8.682770227269513,12.627936185564256,23.049089575135064,15.805699050158307,3.7236913113869403,-78.6380113930606,-79.59222272658496,,2.432904557725901,40.41556708511502
AMZN,49.903831410288994,-3.2165746014073857,36.184308194774346,45.074670729104085,133.10909470171046,11.829574129883673,38.68273211117682,11.829574129883673,200.88177661659046,-1217.7443056576046,-290.7121292843189,-100.0,-27.644092678879172,-71.09488352811748,,-17.15138659753319,45.2264230104965
AEP,44.516482199480464,4.880313040383076,-35.19827247742442,23.8531721940001,1.4136464757399114,-3.3463173706051577,-1.4567577619950054,-3.676818519808853,-1.1644832605531297,-4.295249653259362,68.03422258151441,,26.786597088711893,-8.428651527894589,20.943738656987296,10.839584194672494,34.64003022679467
AMGN,23.994241963937352,65.90833226344846,43.452615021628,32.7468449932283,21.628728736954557,7.092656612088288,-0.8937088919013908,8.503689367364219,-17.447208864729248,2.5183150183150182,-16.232214001138303,-100.0,,301.45974851857204,,18.803418803418804,23.496731111373975
ADI,31.393145353541346,6.22855561578752,-34.851132756505635,30.6494026976874,10.168411279878557,2.427061267844148,4.576769863394152,2.427061267844148,12.118988778875659,20.59324861263767,-5.824087006308636,15.015046478192792,422.8489113452492,659.5023917946361,,80.3873257563191,50.20205062152458
ANSS,9.220383782585339,-1.3827714525794805,40.008724086127565,8.144649916605145,8.305173700961543,9.895461409123852,10.123851734960153,9.895461409123852,5.648620283536205,-4.448645242596093,14.039954964533747,-4.415506078191963,,,,3.8900287238407874,19.419201072607297
AAPL,30.00186132433781,-4.01393489845888,-0.07341898882029034,28.946651176730803,7.026704816404387,2.021994077514121,6.819471705252206,2.021994077514121,7.799581805933456,-3.3599670086086912,9.2615279562982,22.43584784010316,-10.698592054524259,-100.0,,-13.796879277306322,35.81387645199676
AMAT,47.19195466920548,2.9164522216503688,207.36842105263156,42.35948425537427,2.3939064200217626,2.8388598022105875,3.2602351371633453,2.8388598022105875,-1.670092497430627,5.0727969348659006,64.65741543798785,-64.13239390463707,,,14.07035175879397,40.53367217280813,42.49341272601468
APP,190.6328689445166,-3.133733246875428,-53.525272007729875,168.94137969881862,122.90966775016057,16.54310986852241,42.466750331359584,16.54310986852241,-1456.3369672113997,-285.06791321220675,156.54835711737857,240.41342067988668,938.5504980658609,,,541.3897280966768,367.3291479328817
ARM,176.0157990217651,2.262443438914027,23.745173745173744,179.7184181332346,-67.09905660377359,20.679357969391564,19.665759813447337,20.679357969391564,-82.7433628318584,-41.603053435114504,46.59442724458204,,,,,53.76344086021505,222.33818158245106
ASML,43.714230652644304,8.71279692047695,-3.626707758347894,44.5737719367034,40.4971480881628,30.156233765007034,32.11184942196802,30.156233765007034,39.09732798006368,39.37982290814694,-54.69550052319497,-78.4468823415307,45.83494769469198,101.3317191283293,21.515892420537895,66.46706586826348,17.35819308200891
AZN,17.12290109232225,-2.086754241926656,-5.287058060330847,13.757552131420637,47.73802971931755,3.2919212644585243,17.468710888610765,3.2919212644585243,93.30673758865248,81.11313868613139,-9.257979825894708,,288.8276947285602,,13.793103448275861,46.94671334111241,18.213504994769476
TEAM,-19.065362566654176,-2.5749439704045205,3.5376090937195315,-19.581732571969717,-112.45444548453645,23.31084263860012,22.552658122598576,23.456693136169548,-66.0864603067012,-38.261487670540575,67.99818116844494,163.49346026158952,,,,28.281419494808617,6.994773056917708
ADSK,31.409786421204515,0.0,0.0,30.910199851161508,,,,,,,0.0,-0.0,-0.0,,0.0,-0.0,46.02356900149008
ADP,14.89153331848858,7.577737130911942,39.83201343892488,14.102547886290031,10.598832105644822,5.692839035281532,6.290888011703978,5.692839035281532,5.65317239906003,9.964830011723329,-1.1496149614961495,9.835919386481184,-10.0,,,-1.4345696291112666,38.59217802787189
BKR,4.255703882986974,-9.567437668969662,6.350482315112541,1.7371252128414303,196.47940074906367,20.561542824730573,19.340909090909093,20.561542824730573,39.682539682539684,-423.2945091514143,104.44938820912124,-35.02415458937198,,,,23.761375126390295,10.017899821114359
BIIB,-23.782468303029887,10.949501058361053,-69.29488491796566,-14.1979370082567,-53.21107234667646,-3.3204238504334835,-7.50972121949057,-7.761939659176533,-36.89996209380062,-61.89241524172109,8.299009727455964,-100.0,-19.187786868888445,,,28.042763157894733,-23.62042597371186
BKNG,26.04220260383875,13.392651683669557,-0.9328205547827509,27.455666917456107,43.12131680552733,25.014628437682855,,25.014628437682855,14.366914935319484,40.25506867233486,13.142580019398642,56.72859084730403,-73.40425531914893,-47.72162386081193,,-6.25,61.250164637848414
AVGO,109.09843182768783,-0.7237757813488548,14.279961340206185,100.5286545234726,7.303576089793788,7.8788061319760265,11.744738628649015,7.8788061319760265,15.186948606637726,22.50543714658547,8.098332515939186,-9.107037256061503,-82.93096145700974,-100.0,7.017543859649122,6.60377358490566,113.20867360456066
CDNS,16.58379458027002,-13.860595099248943,14.260844926756015,16.193027630290587,21.610132530050418,14.831831155638936,14.571666361033136,14.831831155638936,17.55516460673477,22.638735758912166,11.541238584602556,-28.00667839976591,-69.0721649484536,-94.35028248587571,26.22779618535854,-17.479370446403415,24.080095193115866
CDW,12.322250707115602,-4.739336492890995,86.77030456852792,8.427244657435917,-3.306687850652897,-9.990862657745476,-0.7297401101011394,-9.969980396224898,-3.1293222683264177,-0.9152086137281292,20.064564191705987,,-86.35803833643855,-90.97940384114017,,15.96244131455399,0.055066857810162836
CHTR,-29.436912004195197,0.1782732088153028,9.922480620155039,-11.97686279505402,-0.874719181683476,1.0828921550479436,0.5013950103109458,-0.07329115877179448,2.1481662991096955,-9.851632047477745,-42.805637495902985,-68.71655152281795,13.603645590596033,-13.964824708497444,,24.028108353167855,-15.007696724472607
CTAS,72.15275261287422,-0.011729906351875454,175.4875190295532,68.05014001802718,13.69827181955436,8.85737818220963,12.29338031057889,8.236309885416109,14.75421931097531,16.586078738288293,31.862746258994797,75.50624898148497,-73.1,,,23.665922702191725,69.96738824859432
CSCO,0.3142411267388042,268.9905851507568,-25.832263163093945,12.39951946981962,-9.867780894053002,-5.605459840696165,-2.587195480099572,-5.605459840696165,-16.65595681788973,-18.179655910568464,-46.36759993696486,38.62985685071575,2493.2,,2.0,-21.083627797408717,11.304014879860343
CCEP,31.31711884958162,-4.291593180482069,2.3071377072819033,21.14797698507851,7.563884156729131,5.669745958429561,7.969151670951156,5.669745958429561,9.090909090909092,10.676392572944298,-14.383855732073853,,23.560767590618337,,230.76923076923075,34.660033167495854,34.824981786699134
CTSH,12.87530281434684,-14.276401564537158,19.625741670470102,11.171892560519533,-6.132075471698113,-0.38604076590487957,-4.169054441260745,-0.38604076590487957,-1.6846361185983827,-7.1615720524017465,-9.973166368515205,-25.17580872011252,-96.35568513119533,-100.0,,-4.518072289156627,18.539620532136684
CMCSA,-8.88315722467545,-2.8934918936219156,30.869656769846284,-7.395802299574604,44.07244176141624,0.11941331005460071,1.9179464993871225,0.11941331005460071,3.0454384724186703,186.55493482309126,2.49090621540408,-15.283613445378153,298.3528391850889,120.47358834244079,,12.878622793636957,7.563822337349367
CEG,130.1594340918183,60.55825242718447,-12.796208530805686,121.7751936654289,205.58408215661106,1.9558101472995089,51.240056153486194,1.9558101472995089,-626.2582056892778,-1114.375,91.06877783275607,,-85.84615384615385,1331.7343173431734,,43.39846062759029,133.38452471550497
CPRT,21.52650155236295,-1.4279428490780637,58.14903984248926,20.590533475925323,7.047883891479621,9.492267512387848,9.802065756241685,9.492267512387848,5.748404547653019,10.121584402552715,13.450153024986609,,-68.08259934603942,-100.0,,-1.0928390588344599,21.28942609594477
CSGP,-2.102249767255675,0.43415340086830684,4.989935587761675,-3.285534408546495,-33.80879606045169,12.4908357771261,11.032571816331146,12.4908357771261,-37.40576496674058,1.4073071718538566,10.497500595096405,,-100.0,,-100.0,-56.8259385665529,3.7717165339938075
