Metric,2023-09-30 Value,2024-09-30 Value,Change (%)
EBITDA,125820000000.0,134661000000.0,7.026704816404387
Basic EPS,6.16,,
Total Revenue,383285000000.0,391035000000.0,2.021994077514121
Gross Profit,169148000000.0,180683000000.0,6.819471705252206
Operating Revenue,383285000000.0,391035000000.0,2.021994077514121
Operating Income,114301000000.0,123216000000.0,7.799581805933456
