ticker,annual_avg_return,annual_avg_volatility
GGAL,0.7022439755978656,0.5355566447243639
YPF,0.7107192427249952,0.5651647818952494
BMA,0.6980453396258488,0.537416563771293
BBAR,0.5907541256078648,0.5918453743510393
SUPV,0.5873201070254164,0.6281629291200528
CEPU,0.5103752167230104,0.5330196563677644
EDN,0.588985991172398,0.6316464259183859
TGS,0.5717502835467227,0.550755744836596
VIST,0.7790436964292047,0.5107359880008334
BABA,-0.02534096719532637,0.5508248953610555
JD,-0.05562228340778915,0.6031635795475841
BIDU,-0.07164001385938142,0.5512498926344858
SONY,-0.024681428463825542,0.28415634445223864
TM,0.020847197091965933,0.25614855139404624
MUFG,0.2539411430720063,0.2952404993199149
AAPL,0.19541728443394352,0.275678153787019
MSFT,0.14951037047822419,0.27581813238373276
GOOGL,0.10048754450379811,0.32266204694850725
AMZN,0.1062355126738601,0.38016239707809535
META,0.2984366892437197,0.48858289316704623
NVDA,0.7723407672069608,0.5666503429216135
NFLX,0.19464967063029415,0.49167439221159737
JPM,0.14987296371626757,0.2407964550399289
GS,0.14681250691832143,0.2560478781152028
C,0.034971477065790894,0.28246085347572286
BAC,0.028009921761427515,0.27475992348786127
WFC,0.15396482029748848,0.29772813674338533
JNJ,0.04474672278135822,0.16390506305890815
PFE,-0.050180551305336385,0.26292196793136036
GILD,0.1549755460098575,0.23009703196913947
LLY,0.495252283230411,0.28677121167260466
SBUX,0.021608075603063562,0.3287678661645596
MCD,0.13048842463846225,0.17120706738614364
KO,0.127873457456945,0.1578668356423488
PEP,0.07011171125721699,0.16980389888771624
WMT,0.20817133720937758,0.20604326145248056
SAP,0.21461118818272573,0.2725969881380734
VOW3.DE,-0.04587278195534044,0.30395817407340153
BMW.DE,0.06655100716237446,0.26516339550325413
SIE.DE,0.15666411602126845,0.28687219178100354
DHL.DE,-0.05617512397789672,0.27245301841625125
