Metric,2023-09-30 Value,2024-09-30 Value,Change (%)
Total Debt,111088000000.0,106629000000.0,-4.01393489845888
Total Assets,352583000000.0,364980000000.0,3.5160515396374756
Stockholders Equity,62146000000.0,56950000000.0,-8.36095645737457
Debt-to-Assets Ratio,31.50690759338936,29.21502548084827,-7.274221075958481
ROA,27.509834563776476,25.682503150857585,-6.64246601949772
ROE,156.07601454639075,164.59350307287096,5.457269364056281
