Metric,2023-09-30 Value,2024-09-30 Value,Change (%)
Free Cash Flow,99584000000.0,108807000000.0,9.2615279562982
Repurchase Of Capital Stock,-77550000000.0,-94949000000.0,22.43584784010316
Repayment Of Debt,-11151000000.0,-9958000000.0,-10.698592054524259
Issuance Of Debt,5228000000.0,0.0,-100.0
Issuance Of Capital Stock,,,
Capital Expenditure,-10959000000.0,-9447000000.0,-13.796879277306322
