ticker,average_daily_return,daily_volatility,daily_avg_volume_usd
GGAL,0.0028789341787819295,0.03380943018516214,13775228.360067204
YPF,0.0028811263991624734,0.035617530886039424,26694686.28060802
BMA,0.002863295916498803,0.03392828583305133,7566272.039808564
BBAR,0.002458967879825012,0.037390738588941,3407751.065977488
SUPV,0.0024174602255272034,0.039616006438171,2768913.1699127867
PAM,0.0019596594688202074,0.0274651946814441,7004270.675381793
CEPU,0.002029327869826313,0.03355499624738959,1633048.884765265
TX,0.0002545118621943485,0.023174320662019163,11679928.360464841
EDN,0.0024201630244449278,0.03982863474436562,686892.4783315721
CRESY,0.0013697657048620264,0.03228025124626793,1135641.007726787
TEO,0.0012878730582568019,0.031972468448473165,864439.2468053616
IRS,0.0017304641853359754,0.030802239552483325,700101.3965291854
TGS,0.0023241127722956607,0.03470448352118641,2173007.299508164
LOMA,0.000685504222278349,0.02531049618081412,1904936.8062758287
MELI,0.0009517489855789778,0.03453811148991115,616122162.6573656
VIST,0.0031473548864890876,0.03218858687043613,14630040.148620037
PBR,0.0020077013318109634,0.025426796198568857,226370314.8641435
NU,0.0013009921914447942,0.04095905866202711,214927629.53026196
ITUB,0.0009218115540606094,0.0211009999408304,141084503.81084928
VALE,0.0001787311921486594,0.023556886284926658,356405311.34491915
BBD,0.0001311391290825039,0.02503306725281072,80846196.98820105
TME,0.0012724166757758692,0.0407497687882551,76237850.7520143
JD,-0.00021074645957854242,0.03797151634947631,502930437.58972347
BIDU,-0.0002693865067536679,0.03470485239689397,409249356.6343436
NIO,-0.0015219130396655614,0.04882916088415414,730258491.9535507
PDD,0.0015180074730187087,0.049666901430526586,925326374.5058048
ZTO,0.00015253149662735753,0.02703971793089592,71443031.92820075
SONY,-6.648971953393667e-05,0.017912901303979458,69189195.39846508
TM,7.578814706717086e-05,0.016126262463930542,49550747.48388632
MUFG,0.0010200863895893123,0.01858917219922638,23027970.85139647
PYPL,-0.0011918995377411719,0.028429774766011384,1377058250.7458403
ADBE,-3.593296009293819e-05,0.024199652513934352,1512608122.0191762
INTC,-0.0006979912805662441,0.02668147573121648,1516157984.6537807
CSCO,0.0002591543332992566,0.014833761848484766,939954513.892506
IBM,0.000985587539230322,0.013433252258122795,648738219.6766434
ORCL,0.001039367274988844,0.020123441020059096,874481618.1913373
QCOM,0.0007450715293533851,0.02530473726416587,1272277777.1314142
JPM,0.0006118048185481097,0.015165921870396145,1615463956.9501784
GS,0.0005680766629120385,0.016123719666296926,844773249.120645
C,0.00013970012569959283,0.017781578058152402,921105575.6874433
BAC,0.0001284088974597696,0.017303253409792926,1520673775.9505403
WFC,0.0006054191517525204,0.01874328553644098,942312729.0475974
JNJ,0.00017660255928435701,0.01031823372743045,1341009209.9160526
PFE,-0.00017649290402386617,0.01656319203921265,1090589764.664553
GILD,0.0006133738084003486,0.014485209013614869,485954168.1372111
LLY,0.001970397739708571,0.018053448105122768,1454411748.8235736
SBUX,8.99566407515231e-05,0.020697017596718853,766222130.4217974
MCD,0.0005004621813851652,0.010788390374793623,765984784.0034151
KO,0.0005185174316232657,0.009942726337379311,846740483.2275053
PEP,0.00028787544118255446,0.010692824122541042,840360785.3534421
WMT,0.000836988778233661,0.012974353953467004,1048377677.972782
